Year,week_number,week_end,total_death_all_ages,all_respiratory_diseases_(ICD-10 J00-J99) _ICD-10 v 2010,Under 1 year,01-14,15-44,45-64,65-74,75-84,85+,Under 1 year_male,01-14_male,15-44_male,45-64_male,65-74_male,75-84_male,85+_male,Under 1 year_female,01-14_female,15-44_female,45-64_female,65-74_female,75-84_female,85+_female,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales
2022,36,9 Sep 2022,"10,753",,57,19,309,1401,1757,3096,4114,30,13,189,861,1015,1721,1723,27,6,120,540,742,"1,375",2391,528,"1,459","1,021",896,"1,136","1,224",955,"1,628","1,211",666
2022,37,16 Sep 2022,"10,673",,47,26,328,1383,1742,3109,4038,29,18,209,818,988,1675,1728,18,8,119,565,754,"1,434",2310,579,"1,437",995,879,"1,124","1,161",977,"1,703","1,141",656
2022,38,23 Sep 2022,"8,751",,43,13,253,1112,1413,2477,3440,24,8,152,651,830,1330,1480,19,5,101,461,583,"1,147",1960,437,"1,213",798,795,914,915,830,"1,368",923,537
2022,39,30 Sep 2022,"10,960",,41,19,337,1368,1692,3247,4256,27,15,216,804,977,1776,1715,14,4,121,564,715,"1,471",2541,611,"1,523","1,083",966,"1,147","1,173",976,"1,561","1,254",649
2022,40,7 Oct 2022,"11,207",,56,10,320,1311,1756,3305,4449,29,6,193,787,1012,1827,1784,27,4,127,524,744,"1,478",2665,539,"1,533","1,136",973,"1,157","1,190","1,020","1,751","1,152",730
2022,41,14 Oct 2022,"11,699",,43,26,338,1351,1901,3413,4627,28,16,210,785,1122,1850,1963,15,10,128,566,779,"1,563",2664,575,"1,622","1,175","1,015","1,225","1,238","1,024","1,854","1,260",685
2022,42,21 Oct 2022,"11,938",,61,21,343,1400,1794,3541,4778,36,11,208,836,1045,1903,2020,25,10,135,564,749,"1,638",2758,615,"1,552","1,173","1,043","1,222","1,202","1,118","1,964","1,313",714
2022,43,28 Oct 2022,"11,245",,49,16,299,1341,1778,3302,4460,29,13,186,790,1024,1776,1845,20,3,113,551,754,"1,526",2615,549,"1,604","1,176",935,"1,025","1,241",976,"1,751","1,261",709
2022,44,4 Nov 2022,"11,795",,47,16,333,1395,1816,3448,4740,26,10,219,843,1054,1856,1959,21,6,114,552,762,"1,592",2781,657,"1,546","1,167","1,011","1,205","1,251","1,052","1,888","1,281",712
2022,45,11 Nov 2022,"11,538",,50,21,329,1419,1852,3302,4565,24,11,207,876,1099,1764,1906,26,10,122,543,753,"1,538",2659,659,"1,554","1,201",981,"1,181","1,244","1,001","1,743","1,214",727
2022,46,18 Nov 2022,"11,579",,49,18,354,1370,1895,3372,4521,27,9,225,824,1062,1804,1830,22,9,129,546,833,"1,568",2691,597,"1,557","1,248","1,042","1,229","1,215","1,046","1,677","1,269",667
2022,47,25 Nov 2022,"11,483",,57,19,359,1429,1803,3350,4466,32,12,224,840,1030,1841,1796,25,7,135,589,773,"1,509",2670,597,"1,526","1,150",979,"1,241","1,289","1,039","1,704","1,236",700
2022,48,2 Dec 2022,"11,307",,50,23,317,1349,1824,3215,4529,25,14,207,832,1029,1659,1859,25,9,110,517,795,"1,556",2670,605,"1,585","1,100",954,"1,127","1,246","1,065","1,651","1,221",730
2022,49,9 Dec 2022,"11,694",,41,23,345,1417,1752,3469,4647,16,17,220,812,1033,1803,1877,25,6,125,605,719,"1,666",2770,585,"1,655","1,159","1,021","1,210","1,273","1,032","1,755","1,253",723
2022,50,16 Dec 2022,"12,389",,51,27,381,1442,1900,3645,4943,26,13,242,857,1105,1923,2014,25,14,139,585,795,"1,722",2929,657,"1,836","1,264","1,067","1,262","1,301","1,120","1,776","1,287",798
2022,51,23 Dec 2022,"14,530",,53,31,336,1659,2180,4191,6080,24,17,217,953,1236,2173,2506,29,14,119,706,944,"2,018",3574,787,"2,062","1,559","1,199","1,494","1,459","1,392","2,040","1,538",961
2022,52,30 Dec 2022,"9,517",,29,13,161,931,1408,2880,4095,18,8,97,528,780,1472,1615,11,5,64,403,628,"1,408",2480,585,"1,393",897,923,931,950,875,"1,369",938,630
2023,1,6 Jan 2023,"14,983",,44,14,282,"1,518","2,125","4,435",6565,27,6,161,879,"1,169","2,255",2588,17,8,121,639,956,"2,180",3977,788,"2,177","1,555","1,346","1,529","1,564","1,324","2,120","1,573",979
2023,2,13 Jan 2023,"17,381",,55,24,365,"1,798","2,609","5,094",7436,32,14,217,"1,028","1,562","2,645",2953,23,10,148,770,"1,047","2,449",4483,947,"2,330","1,771","1,399","1,811","1,839","1,491","2,696","1,874","1,183"
2023,3,20 Jan 2023,"15,804",,50,21,404,"1,723","2,363","4,615",6628,29,13,256,"1,041","1,352","2,472",2621,21,8,148,682,"1,011","2,143",4007,837,"2,224","1,557","1,368","1,719","1,690","1,324","2,394","1,685",974
2023,4,27 Jan 2023,"14,137",,56,18,353,"1,651","2,176","4,115",5768,38,8,222,"1,014","1,294","2,192",2345,18,10,131,637,882,"1,923",3423,727,"1,937","1,348","1,223","1,554","1,519","1,184","2,237","1,561",816
2023,5,3 Feb 2023,"13,412",,59,22,356,"1,539","2,009","3,992",5435,31,11,218,946,"1,144","2,154",2184,28,11,138,593,865,"1,838",3251,664,"1,789","1,223","1,229","1,472","1,500","1,158","2,129","1,416",807
2023,6,10 Feb 2023,"12,672",,45,22,340,"1,470","1,973","3,668",5154,22,18,236,913,"1,146","1,951",2084,23,4,104,557,827,"1,717",3070,654,"1,644","1,250","1,048","1,413","1,379","1,094","2,014","1,399",755
2023,7,17 Feb 2023,"12,031",,60,17,332,"1,363","1,909","3,555",4795,31,11,227,837,"1,144","1,839",1956,29,6,105,526,765,"1,716",2839,645,"1,633","1,084","1,062","1,251","1,312","1,128","1,877","1,289",720
2023,8,24 Feb 2023,"11,952",,55,23,376,"1,405","1,843","3,524",4726,36,15,243,828,"1,065","1,899",1937,19,8,133,577,778,"1,625",2789,614,"1,566","1,155","1,034","1,180","1,330","1,098","1,841","1,404",707
2023,9,3 Mar 2023,"12,049",,51,15,340,"1,432","1,845","3,561",4805,26,7,244,887,"1,065","1,948",1976,25,8,96,545,780,"1,613",2829,617,"1,608","1,136","1,044","1,248","1,329","1,084","1,893","1,327",740
2023,10,10 Mar 2023,"11,410",,41,25,358,"1,334","1,768","3,270",4614,24,13,213,791,"1,005","1,755",1901,17,12,145,543,763,"1,515",2713,585,"1,621","1,059",969,"1,123","1,246","1,065","1,843","1,224",654
2023,11,17 Mar 2023,"12,133",,47,23,360,"1,441","1,902","3,562",4798,30,13,244,857,"1,123","1,939",2020,17,10,116,584,779,"1,623",2778,607,"1,655","1,179","1,128","1,291","1,328","1,057","1,755","1,315",795
2023,12,24 Mar 2023,"12,052",,41,24,350,"1,412","1,853","3,521",4851,21,9,214,864,"1,062","1,947",1991,20,15,136,548,791,"1,574",2860,571,"1,635","1,164","1,059","1,217","1,329","1,143","1,834","1,304",778
2023,13,31 Mar 2023,"11,584",,45,23,328,"1,368","1,806","3,383",4631,23,14,203,849,"1,041","1,804",1888,22,9,125,519,765,"1,579",2743,602,"1,570","1,152","1,045","1,270","1,248","1,013","1,721","1,235",708
2023,14,7 Apr 2023,"10,089",,45,18,292,"1,156","1,574","3,038",3966,29,10,180,699,926,"1,628",1737,16,8,112,457,648,"1,410",2229,564,"1,367","1,052",841,995,"1,136",899,"1,563","1,038",616
2023,15,14 Apr 2023,"9,978",,42,20,276,"1,204","1,612","2,934",3890,22,15,183,751,922,"1,570",1641,20,5,93,453,690,"1,364",2249,573,"1,402",950,880,"1,008","1,106",827,"1,548","1,082",578
2023,16,21 Apr 2023,"12,420",,58,16,321,"1,478","1,878","3,746",4923,31,6,198,890,"1,095","2,058",2061,27,10,123,588,783,"1,688",2862,698,"1,627","1,229","1,057","1,311","1,318","1,028","1,862","1,444",821
2023,17,28 Apr 2023,"12,152",,52,19,375,"1,551","1,920","3,528",4707,35,11,244,943,"1,124","1,886",1923,17,8,131,608,796,"1,642",2784,656,"1,647","1,161","1,101","1,323","1,313","1,085","1,788","1,323",732
2023,18,5 May 2023,"10,143",,44,18,300,"1,256","1,508","3,027",3990,22,10,183,776,890,"1,596",1610,22,8,117,480,618,"1,431",2380,538,"1,339","1,015",903,"1,038","1,056",909,"1,559","1,126",647
2023,19,12 May 2023,"10,367",,34,14,317,"1,264","1,629","3,057",4052,22,11,205,789,981,"1,641",1671,12,3,112,475,648,"1,416",2381,533,"1,411","1,031",859,"1,097","1,163",928,"1,529","1,178",610
2023,20,19 May 2023,"11,654",,62,23,338,"1,402","1,869","3,459",4501,38,12,222,859,"1,128","1,893",1845,24,11,116,543,741,"1,566",2656,570,"1,548","1,196",998,"1,227","1,261","1,021","1,844","1,267",697
2023,21,26 May 2023,"11,111",,50,15,367,"1,443","1,773","3,296",4167,35,9,234,893,"1,045","1,859",1762,15,6,133,550,728,"1,437",2405,549,"1,503","1,070",962,"1,115","1,125",952,"1,845","1,281",673
2023,22,2 Jun 2023,"8,839",,46,17,277,"1,114","1,419","2,676",3290,26,8,170,671,821,"1,408",1422,20,9,107,443,598,"1,268",1868,475,"1,153",828,762,889,"1,002",818,"1,437",889,557
2023,23,9 Jun 2023,"10,940",,50,16,338,"1,354","1,715","3,283",4184,29,6,213,850,"1,028","1,773",1740,21,10,125,504,687,"1,510",2444,592,"1,378","1,090",946,"1,147","1,210",999,"1,751","1,164",640
2023,24,16 Jun 2023,"10,700",,56,20,298,"1,347","1,752","3,148",4079,33,9,194,827,"1,018","1,721",1741,23,11,104,520,734,"1,427",2338,551,"1,463","1,061",914,"1,070","1,168",961,"1,638","1,195",652
2023,25,23 Jun 2023,"10,472",,50,15,341,"1,406","1,655","3,069",3936,22,8,237,847,983,"1,647",1689,28,7,104,559,672,"1,422",2247,532,"1,358",991,949,"1,051","1,187","1,011","1,587","1,141",632
2023,26,30 Jun 2023,"10,373",,43,23,325,"1,322","1,694","3,137",3829,22,16,211,793,988,"1,726",1584,21,7,114,529,706,"1,411",2245,581,"1,385","1,028",888,"1,094","1,083",969,"1,600","1,038",685
2023,27,7 Jul 2023,"9,736",,38,19,338,"1,271","1,557","2,942",3571,22,13,201,745,901,"1,607",1497,16,6,137,526,656,"1,335",2074,526,"1,306",924,767,"1,018","1,083",910,"1,498","1,047",632
2023,28,14 Jul 2023,"10,030",,46,24,359,"1,331","1,637","2,941",3692,26,14,233,791,996,"1,541",1564,20,10,126,540,641,"1,400",2128,534,"1,291","1,018",852,"1,107","1,021",896,"1,581","1,053",653
2023,29,21 Jul 2023,"9,659",,42,16,298,"1,268","1,557","2,848",3630,27,9,181,788,898,"1,553",1509,15,7,117,480,659,"1,295",2121,492,"1,297",998,815,"1,030","1,043",828,"1,471","1,037",623
2023,30,28 Jul 2023,"9,684",,57,16,330,"1,250","1,605","2,809",3617,36,9,233,736,961,"1,550",1574,21,7,97,514,644,"1,259",2043,522,"1,348",928,832,975,"1,001",865,"1,497","1,049",639
2023,31,4 Aug 2023,"10,038",,46,18,327,"1,375","1,580","2,955",3737,22,12,201,800,907,"1,587",1589,24,6,126,575,673,"1,368",2148,572,"1,405",989,865,"1,026","1,046",912,"1,488","1,062",633
2023,32,11 Aug 2023,"9,991",,45,17,345,"1,340","1,621","2,876",3747,21,13,218,796,972,"1,564",1587,24,4,127,544,649,"1,312",2160,518,"1,358",991,901,"1,061","1,075",881,"1,521","1,101",561
2023,33,18 Aug 2023,"10,063",,43,18,299,"1,286","1,656","2,972",3789,19,7,206,761,948,"1,625",1605,24,11,93,525,708,"1,347",2184,540,"1,320",959,903,"1,027","1,055",917,"1,533","1,119",660
2023,34,25 Aug 2023,"10,086",,47,27,318,"1,221","1,628","3,015",3830,31,14,217,737,955,"1,626",1574,16,13,101,484,673,"1,389",2256,527,"1,360","1,060",828,"1,021","1,055",927,"1,494","1,092",686
2023,35,1 Sep 2023,"8,441",,38,12,275,"1,100","1,390","2,426",3200,25,4,189,656,823,"1,312",1336,13,8,86,444,567,"1,114",1864,467,"1,201",782,800,870,863,742,"1,285",860,544
2023,36,8 Sep 2023,"10,168",,50,13,275,"1,268","1,582","3,087",3893,29,9,190,770,925,"1,709",1631,21,4,85,498,657,"1,378",2262,569,"1,354",995,895,"1,028","1,053",920,"1,565","1,167",594
2023,37,15 Sep 2023,"10,355",,48,22,297,"1,300","1,622","3,053",4013,29,13,206,757,972,"1,619",1704,19,9,91,543,650,"1,434",2309,562,"1,449","1,080",874,"1,022","1,091",935,"1,556","1,104",658
